Event name,Venue,Event URL,Number of guests attending
Keep Hush presents Turbofest: all day and all night,The Cause,https://ra.co/events/2126052,2266
All Day I Dream of London Love,Studio 338,https://ra.co/events/2134473,1410
Don Woezik Invites 6EJOU & Rebekah,E1,https://ra.co/events/2123227,1306
Yaeji - EartH Hackney ,EartH,https://ra.co/events/2160356,1029
"fabric: Sama' Abdulhadi pres Resilience: Dave Clarke, Nene H, CEM, Steve Rachmad + more",fabric,https://ra.co/events/2140347,1266
"Origins: Love Remain, Tarzsa, Madelic + more",Corsica Studios,https://ra.co/events/2086868,1105
KOKO Electronic: Dennis Ferrer,KOKO,https://ra.co/events/2114796,1130
Labyrinth presents: Antdot extended set,Night Tales,https://ra.co/events/2143564,724
A LOVE FROM OUTER SPACE (Spring Edition),Phonox,https://ra.co/events/2123051,627
Faith Boat Party,The Dutch Master,https://ra.co/events/2070380,563
"tm8.club ★ Mama Snake, Mohajer, Sevyn0000, S3BA, Fillo Deportaberta & olesia",FOLD,https://ra.co/events/2131121,595
A Day with Michael Gray,Night Tales,https://ra.co/events/2150070,507
"Egg Pres: Beezo, Wigman, Petchy, JAYDAA",Egg London,https://ra.co/events/2159349,430
Jeremy Olander (All Day Long),Phonox,https://ra.co/events/2130691,435
Echonomist & Sainte Vie,26 Leake Street,https://ra.co/events/2143500,500
"Redfreya & Friends w/ Super Flu, Marcus Worgull",Between The Bridges,https://ra.co/events/2109319,365
The Disco Express — Summer Day & Night Party,Metropolis,https://ra.co/events/2133449,358
Young Franco + Friends,Colour Factory,https://ra.co/events/2100429,322
"A2J INVITES TIPPING POINT - ATRIC b2b Frida Darko, Urem, FLAVE (live), Sahra Bass",NUMBER 90 LONDON,https://ra.co/events/2115971,266
RedRoom Underground x House Warming,Brixton Storeys,https://ra.co/events/2143708,297
NAVA LDN - 'The Last Dance',Peckham Audio,https://ra.co/events/2152816,237
Slimelight,Electrowerkz,https://ra.co/events/2160517,227
The South London Soul Train 14 Year Anniversary w/Fat Brass Live - More on 2 floors,CLF Art Lounge & Roof Garden,https://ra.co/events/2128810,183
Soul City: House Music Every Saturday Night,The Jazz Cafe,https://ra.co/events/2069678,345
Stimming (Live),Corsica Studios,https://ra.co/events/2108513,140
Lion & Lamb with Huerta (All Night Long),The Lion and Lamb,https://ra.co/events/2156192,167
Abyss W/ Reflex Blue & Wax Material,E1,https://ra.co/events/2162477,141
"Club Hiatus x Nein, Day & Night: Zombies In Miami",The Glove That Fits,https://ra.co/events/2115803,138
"Club Metropolis: Day & Night Party (House, Disco & Dirty Pop - Sat 31st May)",Metropolis,https://ra.co/events/2069832,201
"Jeremy Sylvester, Lady Passion, Bear Winder, Post Cap Era, Onyx Stone, Fevasoul, Special Guest",Bricks,https://ra.co/events/2105297,88
Aroop Roy [All Night Long] - Five Saturdays at NT's Loft,Night Tales Loft,https://ra.co/events/2118387,153
Dansu Discs: Josh Butler b2b THEOS b2b Chesster,XOYO,https://ra.co/events/2097451,49
"Future Disco: Roger Sanchez, GIDEÖN, SUGARLOAF + more",Ministry Of Sound,https://ra.co/events/2087473,53
Remember Them Days: Summer Day Party with Crazy Cousinz & Friends,Brixton Jamm,https://ra.co/events/2159067,35
"Pleasureroom Records with Red Pig Flower, Celestra, Daniel Sehnawi, LUUD b2b Dalbert, MYRIAM ",TBA - East London Location,https://ra.co/events/2176170,43
So Fresh So Clean at 77 Welbeck Street,"TBA - 77 Welbeck Street, W1",https://ra.co/events/2180715,51
Beyond AS ONE IN IN THE PARK PRE PARTY + Guapo After Party,Fire,https://ra.co/events/2152473,17
VIVA Reggaeton v.s. Afrobeats,Lightbox,https://ra.co/events/2181081,18
Tola presents: Ben Hauke b2b Lily London,Tola,https://ra.co/events/2162687,19
VIVA Baile,Lightbox,https://ra.co/events/2181083,16
Latin Jazz Brunch Live with Orquesta Mambarito (Live) + DJ John Armstrong,CLF Art Lounge & Roof Garden,https://ra.co/events/2134031,3
Ben Gomori & Anomalous DJ,Cafe 1001,https://ra.co/events/2174919,11
Studio56: Larry Plays Records b2b Ed From Balham,Tola,https://ra.co/events/2179104,3
A:M After Hours // Free Entry Tickets,Fire,https://ra.co/events/2155960,2
test,TBA,https://ra.co/events/2177742,1
House & Disco at Jamm,Brixton Jamm,https://ra.co/events/2183608,1
"Club Classics: Dirty Pop, Every Saturday Night",Metropolis,https://ra.co/events/2113386,16
BROADCITE 'Back 2 Back' SUMMER party!,"TBA - Brixton, Department Store",https://ra.co/events/2170714,0
Saturday Service free Summer party,The Horse & Groom,https://ra.co/events/2180568,0
Stripped Back Sounds: FREE DAY PARTY W/ James Andrew b2b Loren & Kearun,Crate Brewery,https://ra.co/events/2145522,1443
2CPERREA PRESENTS LA 3ERA PUTIVUELTA,NUMBER 90 LONDON,https://ra.co/events/2151163,599
SHIBUI 3rd Birthday at No90 Bar *FREE ENTRY*,NUMBER 90 LONDON,https://ra.co/events/2123245,628
Balliamo's Summer Boat Party [The Deep Blue Disco IV],TBA - The Pearl of London - Westminster Pier,https://ra.co/events/2129422,275
Gallery presents: Nic Fanciulli,Gallery,https://ra.co/events/2129597,339
Quantum Sounds Amapiano & Afro House Day Party,Nico's Bar at Hackney Bridge,https://ra.co/events/2162086,259
makaan مکان  - 9  [ FOLD - STEAM ROOM ],FOLD,https://ra.co/events/2150275,228
Raindance at fabric 2025,fabric,https://ra.co/events/2064604,204
"COTCH with DJ Travella, Rozaly, Viiaan & more",Ormside Projects,https://ra.co/events/2167492,244
XVII x R2G presents: RAVEVOLUTION - HENRIQUE CAMACHO ,Egg London,https://ra.co/events/2151957,153
Busted at Vittoria Wharf,Vittoria Wharf Studio,https://ra.co/events/2126685,177
NOEND X NOZOO X LUCE NUOVA ,Distillery N17,https://ra.co/events/2150064,165
Dancefloor Etiquette (Feat. The Wire),93 Feet East,https://ra.co/events/2147868,180
Garage Girls - 3rd Birthday Tour,The Carpet Shop,https://ra.co/events/2123954,234
Afro House / House - The Coffee Gen x Afronaut Events - Summer Rooftop w/ malix & guests,NYX Hotel London,https://ra.co/events/2169650,149
5 Years of PLURPROJECT,TBA - Secret Open Air Location,https://ra.co/events/2163973,207
Motive Hunter Audio x Hardcore Energy: HARDCORE JUNGLISTS UNITE,Oslo Hackney,https://ra.co/events/2145838,178
Break a Spike - The 1st Dance,Secret Location,https://ra.co/events/2170242,130
Something Good: Launch Party,HWK Garden / Terrace,https://ra.co/events/2121222,134
Cubicle Culture,Gaffe,https://ra.co/events/2125534,160
Dub Mantra: Market Sessions,Mezzanine - Tooting,https://ra.co/events/2155803,107
Vasuki Sound pres. Extended Wakefulness ,M.O.T,https://ra.co/events/2146838,152
Jungle Kitty Hoe Down,Circa Embankment,https://ra.co/events/2168477,112
torus : taurus,SET Vault,https://ra.co/events/2153039,109
DiscoWorks; BOOGIE IN BRIXTON,Bricks,https://ra.co/events/2156284,124
Stripped Back Sounds: Cap & Raphael Carrau,M.O.T,https://ra.co/events/2145525,118
Good Vibes Summer boat party,Millbank Millennium Pier,https://ra.co/events/2092694,76
Nights Sweats #001 - Payfone,Next Door Records Two,https://ra.co/events/2141364,99
Selekt! Scene 6: Yoshua Em,Low Profile Studios,https://ra.co/events/2108063,89
Soul Session - Day Party,LDN East,https://ra.co/events/2147728,85
Reshaped Afternight,Starlane Pizza Bar,https://ra.co/events/2140506,64
HOLYPHORIA: THE SOUL-ROT ,Spanners,https://ra.co/events/2123930,84
Sativa,Winkers Nightclub,https://ra.co/events/2164324,99
Bloom presents: Black Seven Music w/ GUSTAFF & Gino Da Koda (Tech House & Deep Tech),Starlane Pizza Bar,https://ra.co/events/2128448,76
GOOD RIDDIMS #11: 1994 - 2025 Drum & Bass / Jungle,Cu,https://ra.co/events/2144594,70
5 YEARS OF NDR SUMMER PARTY,Campfire [Two Tribes],https://ra.co/events/2139417,54
bangfest2 - back with a bang,Louie's Club,https://ra.co/events/2085648,51
Informal. Jungle Rollers,Basing House,https://ra.co/events/2130049,50
Abstrakt Dance,"TBA - Arch 535,  535 Orhans Yard (off Barrington Road) Brixton, London SW9 8QB",https://ra.co/events/2170151,46
Groovetank live presents:QUEENIEPRINX & Pals,Groovetank Live,https://ra.co/events/2164192,43
"ROLL ON SUMMER // WITH HODGES, BRIAN SMITH, LEON EALES & OTHERS",Q Shoreditch,https://ra.co/events/2123382,72
No Man's Land Vol.4,N7,https://ra.co/events/2142206,57
Aromatik presents Wigmatik,Starlane Pizza Bar,https://ra.co/events/2161209,76
Fat Fernando's 003 (w/ Ali Velmi & Sykik),Dalston Den,https://ra.co/events/2126396,31
Busted at Bermondsey Social Club (AFTERS),Bermondsey Social Club,https://ra.co/events/2165305,67
Liquesco Part 1,TBA - Secret Location,https://ra.co/events/2162731,34
"Trixie presents Unruly on The Goose: Annie Errez, Trixie, Olechka",TBA - The Goose,https://ra.co/events/2170002,51
Frogwork: Nothing But The Pulse,Oslo Hackney,https://ra.co/events/2163790,80
The Essential Orchestra Ibiza Classics,Royal Albert Hall,https://ra.co/events/2122797,25
an evening in with stratus audio,Dream Bags Jaguar Shoes,https://ra.co/events/2157233,34
Ariapita Social Club Homecoming,The Jago,https://ra.co/events/2151532,25
Good Vibez DnB Series 7.0,TBA - Via INSTAGRAM - Secret Outdoor London,https://ra.co/events/2168851,31
"Złom w/ Conrad Pack, DJ Narkus, Medici Daughter, VERA SACRA",Matchstick Piehouse,https://ra.co/events/2163001,36
Are We Going Out Tonight? X COAG: Celebrating Female Artists,Camden Open Air Gallery,https://ra.co/events/2172043,46
BORNSTAR by BORN + Friends,The Waiting Room,https://ra.co/events/2164842,42
PULSE,Jungla London,https://ra.co/events/2179350,14
Melting Point,Four Quarters,https://ra.co/events/2174312,13
Studio Crumb Garden Dance,The Fox and Firkin,https://ra.co/events/2176982,15
BASSLINE NRG,Planet Wax,https://ra.co/events/2162417,9
DAMN! presents: #girlstrip,The Haggerston,https://ra.co/events/2167816,13
Ground UP Second Anniversary - Psytrance Event,Unit 58,https://ra.co/events/2120617,9
Club Noir x Maison Close,Maison Close,https://ra.co/events/2168557,23
ONE FOOT IN THE RAVE,Peckham Riviera,https://ra.co/events/2177854,8
ÜMAN PRESENTS MÜSIC FOR ALL ÜMAN KIND,The Pubb,https://ra.co/events/2169287,7
5 YEARS OF NDR AFTER PARTY,The Gallery,https://ra.co/events/2170805,8
Amor London Boat party + E1 included after-party,Crown Pier,https://ra.co/events/2087728,7
The Hideaway Boat Party,Crown Pier,https://ra.co/events/2162831,5
Beat Transfusion (Feat. Transmigration Live),Aces & Eights,https://ra.co/events/2163810,6
After Hours w/ Cheb Mimo,Hausu,https://ra.co/events/2179893,8
"THE BIG MARKET - Stratford, Riverside East, Queen Elizabeth Olympic Park",Queen Elizabeth Olympic Park,https://ra.co/events/2081812,5
Club Metropolis: Summer Day & Night Party Residency (3 Saturdays in the Summer),Metropolis,https://ra.co/events/2132749,4
Scared To Dance: Guest DJ James Acaster,The Victoria Dalston,https://ra.co/events/2136855,6
SOUL ON THE CANAL SIDE // MUCHO SOUL & GUESTS,Grow,https://ra.co/events/2152874,4
Yamatai Records - DKN's Launch Party,Planet Wax,https://ra.co/events/2162475,5
Phonetic X Universal Project Summer Day Party,Moor Beer Vaults,https://ra.co/events/2164844,4
Summer of Love - London party boat + after party,Crown Pier,https://ra.co/events/2177639,7
DRAKE NIGHT,The Scala,https://ra.co/events/2161290,12
Late Late Show with Mackwood,Ronnie Scott's Bar,https://ra.co/events/2167024,3
[CANCELLED] The Funk,Notting Hill Arts Club,https://ra.co/events/2171010,3
Party! Party! Ibiza style Boat Party plus E1 after party,Crown Pier,https://ra.co/events/2178119,2
"FLASH: Sedric Perry, Tasty Lopez",Hootananny Brixton,https://ra.co/events/2157205,1
Deep Into Disco,Rolling Stock,https://ra.co/events/2180546,3
Tropical London Boat party and free after party,Crown Pier,https://ra.co/events/2181544,1
Natsukashii Disco,TBA - Bermondsey Arts Club,https://ra.co/events/2126688,0
PULSE with (Cancelled) ,TBA,https://ra.co/events/2128619,0
"Pappafunk, Roy Westfield and Forty Five Day",TBA - The homestead cafe Beckenham,https://ra.co/events/2142811,0
Club Mix,Ridley Road Market Bar,https://ra.co/events/2167971,0
The Dukes Underground Sessions,The Duke E17,https://ra.co/events/2169605,0
Orange FM Live,Orange Room,https://ra.co/events/2169970,0
Boat Party on the Thames with a Free after Party,Crown Pier,https://ra.co/events/2180016,0
OPTIMISTIC HACKER GAIUS,"TBA -  Unit  67,  Containerville Studios 40 The Oval , London, E2 9DT",https://ra.co/events/2180339,0
Iain Mackenzie,Corner Corner,https://ra.co/events/2181932,0
AFROPLAY - London's Biggest Afrobeats Arcade Party,Nq64 Soho,https://ra.co/events/2181966,0
Unexpected Items,Yadas,https://ra.co/events/2183037,0
TJT & Dylan (DJ Sets),Ninety One Living Room,https://ra.co/events/2183580,0
AFRODITCH - London's Biggest Afrobeats & Bashment Party,Trapeze Bar,https://ra.co/events/2181244,0
[POSTPONED] Moving Deep,Club 8,https://ra.co/events/2167162,9
